full_name,repo_url,owner_repo,stars,forks
crystal-design,https://github.com/chandar-lab/crystal-design,chandar-lab/crystal-design,3,0
cif_check,https://github.com/kjappelbaum/cif_check,kjappelbaum/cif_check,3,1
NERxiv,https://github.com/JosePizarro3/NERxiv,JosePizarro3/NERxiv,3,0
ml-quaternary-heuslers,https://github.com/WardLT/ml-quaternary-heuslers,WardLT/ml-quaternary-heuslers,3,1
OmniXAS,https://github.com/AI-multimodal/OmniXAS,AI-multimodal/OmniXAS,3,3
aiida-atomistic,https://github.com/aiidateam/aiida-atomistic,aiidateam/aiida-atomistic,3,9
AI-Microreactor,https://github.com/davidhodev/AI-Microreactor,davidhodev/AI-Microreactor,2,0
NaxCoO2-Superconductivity,https://github.com/santoshkumarradha/NaxCoO2-Superconductivity,santoshkumarradha/NaxCoO2-Superconductivity,2,1
CALYPSO-Bohrium,https://github.com/ICCMS-CALYPSO/CALYPSO-Bohrium,ICCMS-CALYPSO/CALYPSO-Bohrium,2,0
MPpredictor,https://github.com/NU-CUCIS/MPpredictor,NU-CUCIS/MPpredictor,2,1
Printability_Map_Framework,https://github.com/sofiasheikh05/Printability_Map_Framework,sofiasheikh05/Printability_Map_Framework,2,0
awesome_atomistic_visualizations,https://github.com/danieleongari/awesome_atomistic_visualizations,danieleongari/awesome_atomistic_visualizations,2,0
smcp,https://github.com/denyskononenko/smcp,denyskononenko/smcp,2,0
X-Repo2Run,https://github.com/terryyz/X-Repo2Run,terryyz/X-Repo2Run,2,3
AI4Materials_EvaluationTool,https://github.com/YKTian-x2b/AI4Materials_EvaluationTool,YKTian-x2b/AI4Materials_EvaluationTool,2,0
mof_defect_builder,https://github.com/zyu331/mof_defect_builder,zyu331/mof_defect_builder,2,1
Thermodynamics,https://github.com/levi-ufma/Thermodynamics,levi-ufma/Thermodynamics,2,1
abitools,https://github.com/GkAntonius/abitools,GkAntonius/abitools,2,3
atomate2-openmm,https://github.com/xperrylinn/atomate2-openmm,xperrylinn/atomate2-openmm,2,0
Au2LaP,https://github.com/SUNSylvia3/Au2LaP,SUNSylvia3/Au2LaP,2,0
mof,https://github.com/scidatasoft/mof,scidatasoft/mof,2,3
model_hea_hardness,https://github.com/uw-cmg/model_hea_hardness,uw-cmg/model_hea_hardness,2,0
eunomia,https://github.com/mehradans92/eunomia,mehradans92/eunomia,2,1
dftman,https://github.com/zooks97/dftman,zooks97/dftman,2,1
ComRISB,https://github.com/comscope/ComRISB,comscope/ComRISB,2,2
mlrap,https://github.com/TMM-Group/mlrap,TMM-Group/mlrap,2,0
perovgen,https://github.com/jgp505/perovgen,jgp505/perovgen,2,0
pqam-dparamhu2021,https://github.com/amkrajewski/pqam-dparamhu2021,amkrajewski/pqam-dparamhu2021,2,1
SCDM,https://github.com/PhysiLearn/SCDM,PhysiLearn/SCDM,2,2
composition-based-stability-regression,https://github.com/sparks-baird/composition-based-stability-regression,sparks-baird/composition-based-stability-regression,2,0
aiida-tbextraction,https://github.com/greschd/aiida-tbextraction,greschd/aiida-tbextraction,2,3
Jah-Podi-Poneis,https://github.com/Servilha-coder/Jah-Podi-Poneis,Servilha-coder/Jah-Podi-Poneis,2,2
phtools,https://github.com/yw-fang/phtools,yw-fang/phtools,2,1
Crystal_DAkit,https://github.com/ixsluo/Crystal_DAkit,ixsluo/Crystal_DAkit,2,0
mkite_vasp,https://github.com/mkite-group/mkite_vasp,mkite-group/mkite_vasp,2,0
CrystalGF,https://github.com/chachapro/CrystalGF,chachapro/CrystalGF,2,0
handwritten-search,https://github.com/StarlightSearch/handwritten-search,StarlightSearch/handwritten-search,2,0
gbcompare,https://github.com/braxtonowens/gbcompare,braxtonowens/gbcompare,2,1
gemdat-notebooks,https://github.com/GEMDAT-repos/gemdat-notebooks,GEMDAT-repos/gemdat-notebooks,2,0
xrd-match-web,https://github.com/dshirya/xrd-match-web,dshirya/xrd-match-web,2,1
mofcolorizer,https://github.com/kjappelbaum/mofcolorizer,kjappelbaum/mofcolorizer,2,0
xrdphase,https://github.com/NSLS-II-PDF/xrdphase,NSLS-II-PDF/xrdphase,2,4
AtomProNet,https://github.com/MusannaGalib/AtomProNet,MusannaGalib/AtomProNet,2,0
ASAP,https://github.com/MuhichLab/ASAP,MuhichLab/ASAP,2,0
HydraGNN,https://github.com/allaffa/HydraGNN,allaffa/HydraGNN,2,1
boltztrap2_aims_utils,https://github.com/yaoyi92/boltztrap2_aims_utils,yaoyi92/boltztrap2_aims_utils,2,1
elec-chem-dev,https://github.com/imagdau/elec-chem-dev,imagdau/elec-chem-dev,2,1
rafbl,https://github.com/lcmd-epfl/rafbl,lcmd-epfl/rafbl,2,1
mpcharges,https://github.com/LeMaterial/mpcharges,LeMaterial/mpcharges,2,0
ssptools,https://github.com/martin-eom/ssptools,martin-eom/ssptools,2,0
question-generator,https://github.com/aamodvarma/question-generator,aamodvarma/question-generator,2,0
fairmat-tutorial-14-computational-plugins,https://github.com/FAIRmat-NFDI/fairmat-tutorial-14-computational-plugins,FAIRmat-NFDI/fairmat-tutorial-14-computational-plugins,2,1
materials-project-mcp,https://github.com/benedictdebrah/materials-project-mcp,benedictdebrah/materials-project-mcp,2,0
diffsims_xl,https://github.com/jordiferrero/diffsims_xl,jordiferrero/diffsims_xl,2,0
PH-CGCNN,https://github.com/JFLigroup/PH-CGCNN,JFLigroup/PH-CGCNN,2,0
phonotune,https://github.com/steffen-wedig/phonotune,steffen-wedig/phonotune,2,0
elastool_aims,https://github.com/yaoyi92/elastool_aims,yaoyi92/elastool_aims,2,2
strain,https://github.com/greschd/strain,greschd/strain,2,1
d3tales_api,https://github.com/D3TaLES/d3tales_api,D3TaLES/d3tales_api,2,0
qchem,https://github.com/UWFormulaN/qchem,UWFormulaN/qchem,2,0
International-Data-Analysis-Olympiad-2022,https://github.com/QuyAnh2005/International-Data-Analysis-Olympiad-2022,QuyAnh2005/International-Data-Analysis-Olympiad-2022,2,1
MDsampler,https://github.com/bowen-bd/MDsampler,bowen-bd/MDsampler,2,0
aims_cube,https://github.com/caizefeng/aims_cube,caizefeng/aims_cube,2,1
mofsynth,https://github.com/livaschar/mofsynth,livaschar/mofsynth,2,2
bsf,https://github.com/bcatoto/bsf,bcatoto/bsf,2,1
LLMD,https://github.com/taokehao/LLMD,taokehao/LLMD,2,0
lieme,https://github.com/sreeharshab/lieme,sreeharshab/lieme,2,0
potdata,https://github.com/wengroup/potdata,wengroup/potdata,2,3
aiida-core-i18n,https://github.com/unkcpz/aiida-core-i18n,unkcpz/aiida-core-i18n,2,3
atomID,https://github.com/Materials-Data-Science-and-Informatics/atomID,Materials-Data-Science-and-Informatics/atomID,2,0
radDefects,https://github.com/hauck-as/radDefects,hauck-as/radDefects,2,1
randomcarbon,https://github.com/modl-uclouvain/randomcarbon,modl-uclouvain/randomcarbon,2,1
Symplex,https://github.com/Materials-Modelling-Microscopy/Symplex,Materials-Modelling-Microscopy/Symplex,2,1
aiida-core,https://github.com/blokhin/aiida-core,blokhin/aiida-core,2,0
ase-db-extension,https://github.com/boliqq07/ase-db-extension,boliqq07/ase-db-extension,2,0
pthm,https://github.com/elton-ogoshi/pthm,elton-ogoshi/pthm,2,0
mb_vasp_workflow,https://github.com/benben1984/mb_vasp_workflow,benben1984/mb_vasp_workflow,2,0
matsci-nlp-cleaner,https://github.com/epochxero/matsci-nlp-cleaner,epochxero/matsci-nlp-cleaner,2,1
lammps-cython-notebooks,https://github.com/costrouc/lammps-cython-notebooks,costrouc/lammps-cython-notebooks,2,0
xrd_clustering,https://github.com/hoidn/xrd_clustering,hoidn/xrd_clustering,2,1
CRYSTALpytools,https://github.com/Spica-Vir/CRYSTALpytools,Spica-Vir/CRYSTALpytools,2,0
