full_name,description,fork,created_at,updated_at,pushed_at,homepage,size,stargazers_count,language,has_issues,has_wiki,has_pages,forks_count,mirror_url,open_issues_count,default_branch,subscribers_count,uuid,source_name,license,private,contributions_count,has_readme,has_changelog,has_contributing,has_license,has_coc,has_threat_model,has_audit,status,last_synced_at,rank,host_type,host_domain,name,scm,fork_policy,github_id,pull_requests_enabled,logo_url,github_contributions_count,keywords,code_of_conduct_url,contribution_guidelines_url,funding_urls,security_policy_url
jcwang587/cgcnn2,Reproduction of CGCNN for predicting material properties,False,2024-09-17T02:52:01.002Z,2025-08-13T20:21:02.006Z,2025-08-13T20:18:50.000Z,https://jcwang.dev/cgcnn2/,7657.0,21.0,Python,True,False,True,3,,1.0,main,1.0,832852081,,,False,6,README.md,CHANGELOG.md,,,,,,,2025-08-13T20:21:02.004Z,6,GitHub,,cgcnn2,git,,832852081,,,6,"['computational-materials', 'fine-tuning', 'graph-model', 'python']",,,[],
WMD-group/PyTASER,Python package to simulate differential absorption of crystals from first principles,False,2021-12-15T10:31:00.000Z,2025-03-25T22:31:43.544Z,2024-02-07T23:40:41.000Z,https://pytaser.readthedocs.io/en/latest/,147499.0,19.0,Python,True,True,False,3,,2.0,main,22.0,438588370,,MIT,False,6,README.md,CHANGELOG.rst,,LICENSE,,,,,2024-02-07T23:46:03.467Z,7,GitHub,,,git,,438588370,,,6,"['computational-chemistry', 'materials-science', 'semiconductor-physics', 'solar-fuel', 'spectroscopy']",,,[],
NRC-Mila/OBELiX,A Curated Dataset of Crystal Structures and Experimentally Measured Ionic Conductivities for Lithium Solid-State Electrolytes,False,2025-02-24T21:33:24.573Z,2025-05-16T06:59:03.014Z,2025-05-16T06:58:36.000Z,,11757.0,19.0,Python,True,False,False,4,,1.0,main,2.0,929098096,,CC-BY-4.0,False,3,README.md,,,LICENSE.txt,,,,,2025-05-16T06:59:03.013Z,4,GitHub,,OBELiX,git,,929098096,,,3,[],,,[],
ntua-unit-of-control-and-informatics/jaqpotpy,Open-source Python client for deploying machine learning models and obtaining predictions via the Jaqpot API.,False,2018-09-27T13:33:36.000Z,2025-07-25T11:51:08.172Z,2025-07-25T11:50:29.000Z,https://jaqpot.org,379958.0,19.0,Python,True,True,False,1,,2.0,main,4.0,150591997,,MIT,False,8,README.md,,,LICENSE,,,,,2025-07-25T11:51:08.170Z,7,GitHub,,jaqpotpy,git,,150591997,,,8,"['api', 'inference', 'machine-learning', 'python', 'rest-api']",,,[],
crystal-code-tools/CRYSTALpytools,This repository contains functions to be used with CRYSTAL.,False,2021-11-19T12:10:06.000Z,2025-05-03T12:21:44.007Z,2025-05-03T12:07:43.000Z,,186542.0,19.0,Python,True,True,True,20,,0.0,main,3.0,429784722,,MIT,False,10,README.md,,,LICENSE.txt,,,,,2025-05-03T12:21:44.006Z,5,GitHub,,CRYSTALpytools,git,,429784722,,,10,[],,,[],
dimonaks/siman,Manager for first-principles calculations,False,2015-09-24T13:02:57.000Z,2025-08-20T15:53:54.495Z,2025-08-20T14:49:48.000Z,https://doi.org/10.1016/j.commatsci.2018.07.057,21256.0,18.0,Jupyter Notebook,True,True,False,17,,2.0,master,2.0,43067041,,Other,False,8,README.md,CHANGELOG.rst,,LICENSE,,,,,2025-07-30T15:36:45.725Z,7,GitHub,,siman,git,,43067041,,,8,[],,,[],
mtap-research/PACMAN-charge,,False,2024-06-01T07:13:14.053Z,2025-02-24T23:36:24.662Z,2025-02-21T10:24:28.000Z,,379292.0,17.0,Python,True,True,False,2,,0.0,main,1.0,798749064,,MIT,False,2,README.md,,,LICENSE,,,,,2024-11-11T15:25:52.901Z,4,GitHub,,PACMAN-charge,git,,798749064,,,2,[],,,[],
lllangWV/ParquetDB,,False,2024-09-26T19:44:00.851Z,2025-08-11T04:09:04.313Z,2025-08-11T04:07:15.000Z,,29046.0,17.0,Python,True,True,True,2,,0.0,main,1.0,863696141,,MIT,False,4,README.md,CHANGELOG.md,CONTRIBUTING.md,LICENSE,,,,,2025-08-11T04:09:04.312Z,8,GitHub,,ParquetDB,git,,863696141,,,4,[],,https://github.com/lllangWV/ParquetDB/blob/main/CONTRIBUTING.md,[],
HouGroup/mdgo,A codebase for classical molecular dynamics (MD) simulation setup and results analysis.,False,2020-10-26T01:17:22.000Z,2023-08-21T08:18:53.000Z,2023-05-08T08:49:44.000Z,https://mdgo.readthedocs.io/,3795.0,16.0,Python,True,True,False,12,,4.0,main,3.0,307229146,,MIT,False,4,README.md,CHANGES.rst,CONTRIBUTING.rst,LICENSE.rst,CODE_OF_CONDUCT.md,,,,2021-12-16T07:55:33.033Z,7,GitHub,,,git,,307229146,,,4,"['molecular-dynamics', 'molecular-dynamics-simulation', 'web-scrapper']",,,[],
sheriftawfikabbas/pyphotonics,,False,2021-04-14T17:35:41.000Z,2024-12-16T01:48:32.625Z,2024-12-16T01:32:56.000Z,,1411.0,16.0,Python,True,True,False,13,,2.0,master,3.0,357990062,,Other,False,1,README.md,,,LICENSE.txt,,,,,2024-12-03T10:32:05.510Z,5,GitHub,,pyphotonics,git,,357990062,,,1,[],,https://github.com/sheriftawfikabbas/pyphotonics/blob/master/CONTRIBUTING.rst,[],
aiidalab/aiidalab,Implements core functions for AiiDAlab.,False,2018-06-06T15:36:32.000Z,2025-06-03T12:14:05.192Z,2025-06-02T23:13:19.000Z,https://aiidalab.readthedocs.io,8044.0,16.0,Python,True,True,False,16,,38.0,main,3.0,136350008,,MIT,False,15,README.md,,,LICENSE,,,,,2024-09-01T19:09:04.366Z,6,GitHub,,aiidalab,git,,136350008,,,15,"['aiida', 'aiidalab']",,,[],
dembart/BVlain,The Bond valence site energy calculator,False,2022-01-14T15:59:56.000Z,2025-08-22T17:49:09.313Z,2025-08-21T16:16:50.000Z,,23857.0,15.0,Python,True,True,False,1,,0.0,master,2.0,448024976,,MIT,False,1,README.md,,,LICENSE,,,,,2024-11-12T18:31:03.838Z,5,GitHub,,BVlain,git,,448024976,,,1,[],,,[],
argonne-lcf/ChemGraph,Agentic framework for computational chemistry and materials science workflows,False,2025-07-03T23:19:07.463Z,2025-07-09T03:03:22.144Z,2025-07-07T15:18:56.000Z,,9676.0,15.0,Jupyter Notebook,True,False,False,6,,10.0,main,4.0,904937759,,Apache-2.0,False,3,README.md,,,LICENSE,,,,,2025-07-09T03:03:22.143Z,4,GitHub,,ChemGraph,git,,904937759,,,3,"['agents', 'ai', 'chemistry', 'materials-science', 'quantum', 'workflow']",,,[],
