username,location,pr_count
tom-wood,"Oxfordshire, UK",2
tomdemeyere,,2
tonnamb,"Dallas, TX",1
tpurcell90,"Tucson, AZ",13
tschaume,Berkeley,11
tsmathis,,1
ucsdlxg,,11
uliaschauer,Switzerland,1
utf,London,43
uthpalaherath,"Durham, NC",1
utopianf,日本,2
v1kko,,1
vorwerkc,"Chicago, USA",4
w6ye,,2
wardsimon,Copenhagen,1
welltemperedpaprika,,2
wladerer,,2
wmdrichards,,10
wolearyc,Los Angeles ,2
wood-b,,6
wsyxbcl,"Qingdao, China",1
wuxiaohua1011,Berkeley,1
xhqu1981,,18
xivh,,1
xjf729,,4
yang-ruoxi,,5
yanghan234,Shanghai ,2
yantar92,,4
yihanxiao92,"Berkeley, CA",11
yiming-xu,,1
yimingchen-eng,San Diego,5
yuuukuma,Tohoku,4
yuzie007,Stuttgart,1
zacharygibbs,USA,1
zbwang,"Kowloon, Hong Kong",5
zooks97,,3
